# T0 = 0.400000 P = 16.000000 z = 0.500000 g = 1.941626 alpha = 0.010000 Process = G_GG
t Rate
0.536 0.0113526 -1.10716e-05
0.537 0.0113619 -9.29772e-06
0.538 0.0113724 -1.04504e-05
0.539 0.0113836 -1.12148e-05
0.54 0.0113916 -8.00573e-06
0.541 0.0114043 -1.26654e-05
0.542 0.0114184 -1.41279e-05
0.543 0.0114328 -1.44e-05
0.544 0.011439 -6.16612e-06
0.545 0.0114435 -4.48482e-06
0.546 0.0114485 -5.01962e-06
0.547 0.0114621 -1.35903e-05
0.548 0.0114639 -1.88188e-06
0.549 0.0114683 -4.38329e-06
0.55 0.0114732 -4.85546e-06
0.551 0.0114793 -6.06554e-06
0.552 0.0114938 -1.45878e-05
0.553 0.0115029 -9.0115e-06
0.554 0.0115121 -9.20245e-06
0.555 0.0115219 -9.80427e-06
0.556 0.0115298 -7.90492e-06
0.557 0.0115402 -1.04365e-05
0.558 0.0115507 -1.05279e-05
0.559 0.011559 -8.29488e-06
0.56 0.0115672 -8.13388e-06
0.561 0.0115697 -2.55753e-06
0.562 0.0115734 -3.6719e-06
0.563 0.0115815 -8.12887e-06
0.564 0.0115886 -7.08055e-06
0.565 0.0115922 -3.63022e-06
0.566 0.011595 -2.72432e-06
0.567 0.0116032 -8.24583e-06
0.568 0.0116155 -1.23322e-05
0.569 0.0116225 -6.94344e-06
0.57 0.0116361 -1.36195e-05
0.571 0.0116463 -1.01891e-05
0.572 0.0116567 -1.03812e-05
0.573 0.0116655 -8.83542e-06
0.574 0.0116735 -8.03446e-06
0.575 0.0116809 -7.3761e-06
0.576 0.0116838 -2.88753e-06
0.577 0.0116868 -2.96498e-06
0.578 0.0116916 -4.8103e-06
0.579 0.0116978 -6.27466e-06
0.58 0.0116966 1.28118e-06
0.581 0.0117024 -5.86201e-06
0.582 0.0117098 -7.40331e-06
0.583 0.0117211 -1.12677e-05
0.584 0.0117283 -7.17972e-06
0.585 0.0117363 -7.97423e-06
0.586 0.0117445 -8.21215e-06
0.587 0.011754 -9.53997e-06
0.588 0.0117642 -1.02214e-05
0.589 0.0117724 -8.17926e-06
0.59 0.0117778 -5.39458e-06
0.591 0.0117825 -4.75018e-06
0.592 0.0117869 -4.33033e-06
0.593 0.0117909 -4.0671e-06
0.594 0.011799 -8.07702e-06
0.595 0.0117999 -8.97755e-07
0.596 0.0118043 -4.33708e-06
0.597 0.0118084 -4.14089e-06
0.598 0.0118159 -7.50549e-06
0.599 0.0118259 -9.9728e-06
0.6 0.0118357 -9.78282e-06
0.601 0.0118413 -5.64086e-06
0.602 0.0118542 -1.28769e-05
0.603 0.01186 -5.78958e-06
0.604 0.011868 -8.08107e-06
0.605 0.0118766 -8.59133e-06
0.606 0.0118793 -2.62332e-06
0.607 0.0118829 -3.66595e-06
0.608 0.0118818 1.14995e-06
0.609 0.0118904 -8.63299e-06
0.61 0.0118938 -3.43569e-06
0.611 0.0118942 -3.32365e-07
0.612 0.0118947 -5.32176e-07
0.613 0.0119056 -1.0857e-05
0.614 0.0119154 -9.83369e-06
0.615 0.0119244 -8.95634e-06
0.616 0.0119273 -2.94695e-06
0.617 0.0119365 -9.14874e-06
0.618 0.0119472 -1.06971e-05
0.619 0.0119527 -5.50966e-06
0.62 0.0119619 -9.20036e-06
0.621 0.0119639 -2.02958e-06
0.622 0.0119675 -3.58736e-06
0.623 0.0119693 -1.83652e-06
0.624 0.0119736 -4.25119e-06
0.625 0.0119758 -2.25177e-06
0.626 0.0119779 -2.07636e-06
0.627 0.0119793 -1.3831e-06
0.628 0.0119816 -2.31085e-06
0.629 0.0119874 -5.80256e-06
0.63 0.011996 -8.61018e-06
0.631 0.0120029 -6.91516e-06
0.632 0.0120084 -5.45699e-06
0.633 0.0120118 -3.43296e-06
0.634 0.0120188 -6.99674e-06
0.635 0.0120272 -8.42067e-06
0.636 0.012031 -3.81148e-06
0.637 0.0120299 1.13158e-06
0.638 0.0120306 -6.96922e-07
0.639 0.0120308 -1.76151e-07
0.64 0.0120351 -4.33675e-06
0.641 0.0120394 -4.27333e-06
0.642 0.0120385 9.09997e-07
0.643 0.0120397 -1.25774e-06
0.644 0.0120431 -3.33399e-06
0.645 0.0120529 -9.81443e-06
0.646 0.0120566 -3.68262e-06
0.647 0.0120623 -5.71467e-06
